main_family;sub_family;izdelkov_v_datoteki;ujetih_v_nasem_katalogu;moj_predlog_svetila_si;moj_predlog_videlektro;tvoj_cilj_ali_POTRJENO
Indoor Lighting;LED Small Panel;306;141;Notranja svetila > Stropna svetila > LED panel;;
Track Lighting;Trackrails;185;42;Tračni sistemi;;
Track Lighting;LED Magnetic;112;10;Tračni sistemi;;
Indoor Lighting;LED Spotlight;111;35;Notranja svetila > Reflektorska svetila;;
Indoor Lighting;GU10 Recessed Spotlight;109;49;Notranja svetila > Vgradna svetila > Reflektorska svetila;;
Electrical;MCB;102;0;;Inštalacije > Omare in stikalna tehnika > Inštalacijski odklopniki;
Outdoor Lighting;LED Wall Light;96;79;Zunanja svetila > Stenska svetila;;
Indoor Lighting;LED Batten Light;76;27;Notranja svetila > Stropna svetila > Linijska svetila;;
Outdoor Lighting;LED Floodlight;75;41;Zunanja svetila > LED reflektorji;;
Electrical;Switch and Socket;75;0;;Inštalacije > Stikala in vtičnice;
LED Strip;12V-24V LED Strip;73;21;;Razsvetljava > LED trakovi in profili > LED trakovi;
Indoor Lighting;GU10 Surface Spotlight;59;38;Notranja svetila > Stropna svetila > Reflektorska svetila;;
LED Strip;Accessories;53;4;;Razsvetljava > LED trakovi in profili > LED profili in dodatki;
Indoor Lighting;Ceiling Light;53;39;Notranja svetila > Stropna svetila;;
Others;Festival Lights;50;0;Zunanja svetila > Svetlobne verige;;
Profiles;Aluminium Profile;48;7;;Razsvetljava > LED trakovi in profili > LED profili in dodatki;
Others;Power Supply;46;16;Svetlobni viri in dodatki > Napajalniki;Razsvetljava > LED trakovi in profili > Napajalniki;
Indoor Lighting;Steplight;45;19;Notranja svetila > Stenska svetila > Osvetlitev stopnic;;
Indoor Lighting;Linear Light;45;0;Notranja svetila > Stropna svetila > Linijska svetila;;
Electrical;Flexible Pipe;44;7;;Inštalacije > Inštalacijski kanali;
Indoor Lighting;LED Downlight;41;3;Notranja svetila > Downlights;;
Bulbs & Tubes;Filament Bulbs;39;22;Svetlobni viri in dodatki > E27;;
Decorative CLS;Metal;39;11;;;
Electrical;RCCB;39;0;;Inštalacije > Omare in stikalna tehnika > Inštalacijski odklopniki;
Electrical;Cable Ties;38;0;;Inštalacije > Priključni in pritrdilni material > Vezice;
Bulbs & Tubes;A Shape Bulbs;37;29;Svetlobni viri in dodatki > E27;;
Decorative CLS;Glass CLR;36;17;;;
LED Strip;220V LED Strip;35;4;;Razsvetljava > LED trakovi in profili > LED trakovi;
Bulbs & Tubes;GU10 Bulbs;35;28;Svetlobni viri in dodatki > GU10;;
Outdoor Lighting;LED Waterproof Light;35;16;Zunanja svetila > Stropna svetila;;
Decorative CLS;Wiring;35;7;;Razsvetljava > Luči > Dodatki;
Outdoor Lighting;LED Street Light;34;1;Zunanja svetila > Ulična svetila;;
Electrical;Extension Cord;32;0;;Inštalacije > Kabli in vodniki > Podaljški in razdelilci;
Decorative CLS;Glass OPL;30;0;;;
Bulbs & Tubes;T Shape Bulbs;30;7;Svetlobni viri in dodatki > E27;;
Electrical;Fan;30;4;;Inštalacije > Ventilatorji;
Decorative LED;Ceiling Light Jade;29;7;Notranja svetila > Stropna svetila;;
Decorative CLS;Fixtures;29;0;;Razsvetljava > Luči;
Indoor Lighting;LED Big Panel;28;18;Notranja svetila > Stropna svetila > LED panel;;
Outdoor Lighting;E27 Wall Light;27;21;Zunanja svetila > Stenska svetila;;
Bulbs & Tubes;MR16 Bulbs;24;6;Svetlobni viri in dodatki > GU5.3;;
Outdoor Lighting;LED Hibay;23;7;Zunanja svetila > Hibay;;
Outdoor Lighting;LED Bulkhead;23;15;Zunanja svetila > Stenska svetila > Bulkhead;;
Outdoor Lighting;T8 Waterproof Light;22;13;Zunanja svetila > Stropna svetila;;
Outdoor Lighting;LED Garden Light;21;0;Zunanja svetila > Talna svetila;;
Electrical;Cable;21;0;;Inštalacije > Kabli in vodniki;
Decorative LED;Ceiling Light Blade;20;20;Notranja svetila > Stropna svetila;;
Outdoor Lighting;GU10 Wall Light;19;8;Zunanja svetila > Stenska svetila;;
