Zaporedje;Glava v CSV (točno tako);Kanonicna koda v PIM;Vir Nowodvorski;Vir Braytron;Ali se danes napolni;ATRIBUT V MAGENTU (izpolni)
1;Šifra artikla;Product.ItemID;;;se polni iz SAOP;
2;EAN;Product.EAN;;;se polni iz SAOP;
3;Spletne strani;Product.WebSites;;;se polni iz SAOP;
4;Naziv artikla EN;Product.WebTitleEn;;;se polni iz SAOP;
5;Naziv artikla;Product.WebTitleSl;;;se polni iz SAOP;
6;Proizvajalec;Product.Manufacturer;;;se polni iz SAOP;
7;Dobavitelj;;;;brez vira;
8;ABC klasifikacija;;;;brez vira;
9;Merska enota;;;;brez vira;
10;Oznaka tarifa;Product.CustomsTariff;;;se polni iz SAOP;
11;Država proizvoda;Product.CountryOfOrigin;;;se polni iz SAOP;
12;Bruto teža;Product.GrossWeight;;;se polni iz SAOP;
13;Enota bruto teže;Attr.Enota bruto teže;;".//attribute[slug=""gw""]/value/text()";ima vir, preslikava se ni vpisana;
14;Neto teža;Product.NetWeight;;;se polni iz SAOP;
15;Enota neto teže;Attr.Enota neto teže;;".//attribute[slug=""nw""]/value/text()";ima vir, preslikava se ni vpisana;
16;Volumen;;;;brez vira;
17;Enota volumna;;;;brez vira;
18;Dolžina paketa;;;;brez vira;
19;Enota dolžine paketa;;;;brez vira;
20;Širina paketa;;;;brez vira;
21;Enota širine paketa;;;;brez vira;
22;Višina paketa;;;;brez vira;
23;Enota višine paketa;;;;brez vira;
24;Kategorije svetila ANG;;;;brez vira;
25;Kategorije svetila SLO;;;;brez vira;
26;Kategorije vid ANG;Product.CategoryEn;;;se polni iz SAOP;
27;Kategorije vid SLO;Product.CategorySl;;;se polni iz SAOP;
28;Cena B2B;Product.PriceB2B;;;se polni iz SAOP;
29;Cena B2C;Product.PriceB2C;;;se polni iz SAOP;
30;Popust;;;;brez vira;
31;Valuta;;;;brez vira;
32;DDV;Product.VatRate;;;se polni iz SAOP;
33;PAK2;Product.Pak2;;;se polni iz SAOP;
34;Omejitev pri naročanju;;;;brez vira;
35;Skupina popusta;Product.PackagingDiscountCode;;;se polni iz SAOP;
36;S popust %;Product.PackagingDiscountPercent;;;se polni iz SAOP;
37;Posebni popust za stranko;;;;brez vira;
38;Glavna slika;Product.MainImage;;;se polni iz SAOP;
39;Ostale slike;Product.OtherImages;;;se polni iz SAOP;
40;Glavni dokument;;;;brez vira;
41;Vloge dokumentov;;;;brez vira;
42;Ostali dokumenti;;;;brez vira;
43;VID trenutna zaloga;;;;brez vira;
44;VID naročena količina;;;;brez vira;
45;VID količina za odpremo;;;;brez vira;
46;VID razpoložljiva količina;;;;brez vira;
47;VID naročena količina dobaviteljem;;;;brez vira;
48;VID datum dobave;;;;brez vira;
49;VID koli. prihodnjih dobav;;;;brez vira;
50;Dobavitelj zaloga;;;;brez vira;
51;Dobavitelj naročena zaloga;;;;brez vira;
52;Dobavitelj datum;;;;brez vira;
53;Skladišče;;;;brez vira;
54;Grlo ANG;Attr.Grlo ANG;attributes/attribute_light_source/light_source_value/text();".//attribute[slug=""socket""]/value/text()";ima vir, preslikava se ni vpisana;
55;Svetilka vključuje svetlobni vir;Attr.Svetilka vključuje svetlobni vir;attributes/attribute_lamp_includes_source_of_light/lamp_includes_source_of_light_value/text();;ima vir, preslikava se ni vpisana;
56;Senzor gibanja;Attr.Senzor gibanja;attributes/attribute_motion_sensor/motion_sensor_value/text();".//attribute[slug=""sensor_type""]/value/text()";ima vir, preslikava se ni vpisana;
57;Max moč sijalke;Attr.Max moč sijalke;attributes/attribute_maximum_wattage/maximum_wattage_value/text();".//attribute[slug=""max-wattage""]/value/text()";ima vir, preslikava se ni vpisana;
58;Garancija;Attr.Garancija;attributes/attribute_warranty/warranty_value/text();".//attribute[slug=""warranty""]/value/text()";ima vir, preslikava se ni vpisana;
59;Zračni pretok;Attr.Zračni pretok;;".//attribute[slug=""air_flow""]/value/text()";ima vir, preslikava se ni vpisana;
60;Uporaba ANG;Attr.Uporaba ANG;attributes/attribute_application/application_value/text();;ima vir, preslikava se ni vpisana;
61;Uporaba SLO;Attr.Uporaba SLO;;;brez vira;
