Stolpec;Glava v predlogi;Kanonicna koda;Vir NOWODVORSKI (NW_XML);Vir BRAYTRON (BT_XML);Potrebna pretvorba;Opomba
54;Grlo ANG;Attr.Grlo ANG;attributes/attribute_light_source/light_source_value/text();".//attribute[slug=""socket""]/value/text()";;ISTA STVAR, DVE IMENI: NW attribute_light_source, Braytron slug=socket
55;Grlo SLO;Attr.Grlo SLO;;;;tvoj odgovor: brez prevoda, samo en stolpec -> glej vprasanje 1 v odgovoru
56;Svetilka vključuje svetlobni vir;Attr.Svetilka vključuje svetlobni vir;attributes/attribute_lamp_includes_source_of_light/lamp_includes_source_of_light_value/text();;BIT (Yes/No, Dimmable/Not-Dimmable -> 1/0);
57;Senzor gibanja;Attr.Senzor gibanja;attributes/attribute_motion_sensor/motion_sensor_value/text();".//attribute[slug=""sensor_type""]/value/text()";BIT (Yes/No, Dimmable/Not-Dimmable -> 1/0);
58;Frekvenca;Attr.Frekvenca;;;;"dvojnik glave; par vrednost+enota je 122/123 (Excel stolpca BF in DR)"
59;Max moč sijalke;Attr.Max moč sijalke;attributes/attribute_maximum_wattage/maximum_wattage_value/text();".//attribute[slug=""max-wattage""]/value/text()";;
60;Garancija;Attr.Garancija;attributes/attribute_warranty/warranty_value/text();".//attribute[slug=""warranty""]/value/text()";;tvoj odgovor: mora tudi nazaj v SAOP ob pisanju
61;Zračni pretok;Attr.Zračni pretok;;".//attribute[slug=""air_flow""]/value/text()";;
62;Uporaba ANG;Attr.Uporaba ANG;attributes/attribute_application/application_value/text();;;
63;Uporaba SLO;Attr.Uporaba SLO;;;PREVOD (EN -> SL prek prevajalne tabele);
64;Način montaže ANG;Attr.Način montaže ANG;attributes/attribute_assembly_method/assembly_method_value/text();;;
65;Način montaže SLO;Attr.Način montaže SLO;;;PREVOD (EN -> SL prek prevajalne tabele);
66;Simbol atributa;Attr.Simbol atributa;attributes/attribute_symbol/text();;"PREFIX ""NW.""";"tvoj odgovor: NW sifra s predpono ""NW."", ni kategorija"
67;Baterija;Attr.Baterija;;".//attribute[slug=""battery""]/value/text()";;
68;Kapaciteta baterije;Attr.Kapaciteta baterije;;".//attribute[slug=""battery_capacity""]/value/text()";"ENOTA-LOCI (Braytron ima vrednost in enoto v enem nizu: ""30 mm"")";
69;Kot svetlobnega snopa;Attr.Kot svetlobnega snopa;attributes/attribute_beam_angle/beam_angle_value/text();".//attribute[slug=""beam_angle""]/value/text()";"ENOTA-LOCI (Braytron ima vrednost in enoto v enem nizu: ""30 mm"")";
70;Enota kota svetlobnega snopa;Attr.Enota kota svetlobnega snopa;attributes/attribute_beam_angle/beam_angle_unit/text();;"ENOTA-LOCI (Braytron ima vrednost in enoto v enem nizu: ""30 mm"")";
71;Presek kabla;Attr.Presek kabla;;".//attribute[slug=""cable_cross_section""]/value/text()";"ENOTA-LOCI (Braytron ima vrednost in enoto v enem nizu: ""30 mm"")";
72;Višina stropne kapice;Attr.Višina stropne kapice;attributes/attribute_ceiling_cup_height/ceiling_cup_height_value/text();;;
73;Enota višine stropne kapice ;Attr.Enota višine stropne kapice ;attributes/attribute_ceiling_cup_height/ceiling_cup_height_unit/text();;;
74;Širina stropne kapice;Attr.Širina stropne kapice;attributes/attribute_ceiling_cup_width/ceiling_cup_width_value/text();;;
75;Enota širine stropne kapice;Attr.Enota širine stropne kapice;attributes/attribute_ceiling_cup_width/ceiling_cup_width_unit/text();;;
76;Čas polnjenja;Attr.Čas polnjenja;;".//attribute[slug=""charging_time""]/value/text()";"ENOTA-LOCI (Braytron ima vrednost in enoto v enem nizu: ""30 mm"")";
77;Način polnjenja ANG;Attr.Način polnjenja ANG;;".//attribute[slug=""charging_type""]/value/text()";;
78;Način polnjenja SLO;Attr.Način polnjenja SLO;;;PREVOD (EN -> SL prek prevajalne tabele);
79;Nazivna jakost toka;Attr.Nazivna jakost toka;;".//attribute[slug=""current""]/value/text()";"ENOTA-LOCI (Braytron ima vrednost in enoto v enem nizu: ""30 mm"")";
80;Nazivna napetost;Attr.Nazivna napetost;;".//attribute[slug=""voltage""]/value/text()";;"negotovo: Braytron voltage je zapakiran niz ""220-240V 50/60Hz"""
