Lastnost (Domain);Jezik;Angleska vrednost;Koliko izdelkov ceka;SLOVENSKI PREVOD (izpolni)
Vrsta svetlobnega vira SLO;SL;Replaceable;25;
Način montaže SLO;SL;Direct assembly;19;
Uporaba SLO;SL;Elevation/Terrace;17;
Slog SLO;SL;Modern;15;
Prevladujoča barva SLO;SL;Graphite;12;
Dopolnilna barva I SLO;SL;Transparent;10;
Dopolnilni material I SLO;SL;Glass;9;
Prevladujoča barva SLO;SL;Black;7;
Slog SLO;SL;Industrial;4;
Prevladujoč material SLO;SL;Painted steel;3;
Prevladujoč material SLO;SL;Plywood;3;
Prevladujoča barva SLO;SL;Black with a golden patina;3;
Slog SLO;SL;Classic;3;
Dopolnilna barva I SLO;SL;White;2;
Dopolnilni material I SLO;SL;Painted steel;2;
Način montaže SLO;SL;lamp hanger;2;
Način montaže SLO;SL;Bracket;2;
Prevladujoča barva SLO;SL;White;2;
Slog SLO;SL;Scandinavian;2;
Uporaba SLO;SL;Garden;2;
Dopolnilni material I SLO;SL;Plastic;1;
Dopolnilni material I SLO;SL;Plastic PC/ABS;1;
Dopolnilni material II SLO;SL;Painted steel;1;
Način montaže SLO;SL;Pin for ground;1;
Način montaže SLO;SL;Recessed assembly;1;
Oblika odprtine SLO;SL;Rectangular;1;
Prevladujoča barva SLO;SL;Gray;1;
Prevladujoča barva SLO;SL;Multicolour;1;
Uporaba SLO;SL;Children room;1;
