Lastnost (Domain);Jezik;Angleska vrednost;Izdelkov;Prevodi iz preglednice;Moj predlog;Tvoj odgovor
Prevladujoča barva SLO;SL;White;2044;bel | bela | bele | beli | belo;bela;
Slog SLO;SL;Modern;1711;;moderen;
Prevladujoča barva SLO;SL;Black;1647;Black | črn | črna | črne | črni | črno;črna;
Zatemnljivo SLO;SL;Not-Dimmable;1495;;ne;
Vrsta svetlobnega vira SLO;SL;Replaceable;1388;;zamenljiv;
Oblika svetilke SLO;SL;Non-Directional;1213;;neusmerjen;
Prevladujoč material SLO;SL;Painted steel;931;Painted steel | barvano jeklo;barvano jeklo;
Način montaže SLO;SL;Direct assembly;920;;neposredna montaža;
Način montaže SLO;SL;Bracket;551;;nosilec;
Dopolnilni material I SLO;SL;Painted steel;481;Painted steel | barvano jeklo;barvano jeklo;
Uporaba SLO;SL;Hall;410;;hodnik;
Dopolnilna barva I SLO;SL;White;344;bel | bela | bele | beli | belo;bela;
Prevladujoč material SLO;SL;Metal;299;kovina | kovinski | kovinsko;kovina;
Oblika svetilke SLO;SL;Directional;286;;usmerjen;
Prevladujoč material SLO;SL;Plastic;267;Plastic | plastika;plastika;
Dopolnilna barva I SLO;SL;Black;223;Black | črn | črna | črne | črni | črno;črna;
Dopolnilni material I SLO;SL;Plastic;208;Plastic | plastika;plastika;
Dopolnilni material I SLO;SL;Glass;199;Glass | steklo;steklo;
Način montaže SLO;SL;Recessed assembly;197;;vgradna montaža;
Uporaba SLO;SL;Dinning room;186;;jedilnica;
Prevladujoč material SLO;SL;Aluminium-PC;178;;Aluminium-PC;
Prevladujoč material SLO;SL;Glass;172;Glass | steklo;steklo;
Prevladujoč material SLO;SL;Fabric;146;blago | tkanina;blago;
Oblika odprtine SLO;SL;Round;136;bučka | okrogel | okrogla | okroglo;okrogla;
Prevladujoča barva SLO;SL;Grey;134;siv | siva | sivo;siva;
Prevladujoča barva SLO;SL;Beige;133;Beige | bež;bež;
Način montaže SLO;SL;Works with Profile System;118;;za sistem Profile;
Uporaba SLO;SL;Elevation/Terrace;118;;fasada/terasa;
Način montaže SLO;SL;Works with CTLS - Commercial Track Light System;117;;;
Slog SLO;SL;Industrial;115;Industrijska | Industrijski;industrijski;
Uporaba SLO;SL;Garden;108;Vrt | vrtna | vrtni;vrt;
Prevladujoč material SLO;SL;PC+PC;103;;PC+PC;
Prevladujoč material SLO;SL;Aluminum;102;;aluminij;
Prevladujoč material SLO;SL;PA+PC;99;;PA+PC;
Uporaba SLO;SL;Bathroom;95;Kopalnica | kopalniška;kopalnica;
Prevladujoča barva SLO;SL;Graphite;85;grafit | grafitna;grafitna;
Način montaže SLO;SL;Free-standing product;84;;prostostoječ;
Prevladujoča barva SLO;SL;Silver;79;srebrn | srebrna | srebrni | srebrno;srebrna;
Prevladujoča barva SLO;SL;Black-Black;79;;črna;
Prevladujoč material SLO;SL;FPCB;76;;FPCB;
Dopolnilna barva I SLO;SL;Gold;73;zlat | zlata | zlato;zlata;
Slog SLO;SL;Modern classic;72;;moderno klasičen;
Prevladujoča barva SLO;SL;Transparent;70;prozoren | prozorna | prozorno | transparenten | transparentna;prozorna;
Način montaže SLO;SL;Works with LVM system;68;;za sistem LVM;
Prevladujoča barva SLO;SL;Gray;65;;siva;
Dopolnilni material II SLO;SL;Painted steel;64;Painted steel | barvano jeklo;barvano jeklo;
Uporaba SLO;SL;Office;63;Pisarna | pisarniška;pisarna;
Prevladujoča barva SLO;SL;Dark Grey;60;temno siv | temno sivo;temno siva;
Prevladujoča barva SLO;SL;Golden;59;;zlata;
Prevladujoč material SLO;SL;Aluminium+PC;59;;Aluminium+PC;
Dopolnilna barva I SLO;SL;Transparent;58;prozoren | prozorna | prozorno | transparenten | transparentna;prozorna;
Prevladujoč material SLO;SL;Plywood;54;Plywood | vezan les;vezan les;
Dopolnilni material I SLO;SL;Chrome plated steel;53;;kromirano jeklo;
Prevladujoč material SLO;SL;Metal-Glass;53;;kovina in steklo;
Oblika odprtine SLO;SL;Rectangular;52;pravokoten | pravokotna | pravokotni | pravokotno;pravokotna;
Prevladujoč material SLO;SL;PBT-PC;50;;PBT-PC;
Dopolnilni material II SLO;SL;Plastic;44;Plastic | plastika;plastika;
Slog SLO;SL;Japandi;44;;japandi;
Prevladujoča barva SLO;SL;Silk gray;44;silk gray | svileno siva;svileno siva;
Dopolnilna barva II SLO;SL;White;41;bel | bela | bele | beli | belo;bela;
Dopolnilni material I SLO;SL;Steel;38;jekleni | jeklo;jeklo;
Prevladujoč material SLO;SL;ABS+PC;36;;ABS+PC;
Prevladujoč material SLO;SL;Zinc aluminum alloy;34;;cinkova aluminijeva zlitina;
Prevladujoča barva SLO;SL;Cream;33;krem | kremna;kremna;
Slog SLO;SL;Scandinavian;33;;skandinavski;
Slog SLO;SL;Classic;32;CLASSIC | klasika | klasična | klasični;klasičen;
Način montaže SLO;SL;Do systemu LVM Ultra Thin;32;;za sistem LVM Ultra Thin;
Prevladujoč material SLO;SL;PC+PS;31;;PC+PS;
Način montaže SLO;SL;Works with NANO-LVM system;28;;za sistem NANO-LVM;
Prevladujoča barva SLO;SL;Gold;27;zlat | zlata | zlato;zlata;
Slog SLO;SL;Glamour;26;;glamurozen;
Prevladujoč material SLO;SL;Ceramic housing;25;;keramično ohišje;
Prevladujoč material SLO;SL;PP+Copper;24;;;
Prevladujoč material SLO;SL;PP+PP;24;;PP+PP;
Prevladujoč material SLO;SL;FPCB-PVC;23;;FPCB-PVC;
Prevladujoča barva SLO;SL;Wooden;23;;;
Način montaže SLO;SL;Direct assembly + line;23;;;
Prevladujoča barva SLO;SL;Green;22;GREEN | zelen | zelena | zeleno;zelena;
Način montaže SLO;SL;Free-standing/Pin for ground/Sheet metal for hard base;21;;;
Dopolnilni material I SLO;SL;Brass-plated steel;21;;;
Prevladujoč material SLO;SL;Metallized glass;20;;;
Prevladujoč material SLO;SL;Metal-PC;20;;;
Prevladujoč material SLO;SL;Aluminium-Glass;19;;;
Prevladujoč material SLO;SL;PC+Copper;17;;;
Dopolnilna barva II SLO;SL;Black;17;Black | črn | črna | črne | črni | črno;črna;
Dopolnilna barva I SLO;SL;Beige;17;Beige | bež;bež;
Prevladujoč material SLO;SL;Plastic PE;16;;;
Prevladujoča barva SLO;SL;White-White;16;;;
Prevladujoča barva SLO;SL;Black-Golden;16;;;
Prevladujoč material SLO;SL;Metal+PS;15;;;
Prevladujoč material SLO;SL;Brass-plated steel;15;;;
Prevladujoča barva SLO;SL;Brushed gold;15;;;
Slog SLO;SL;Mid - century modern;15;;;
Slog SLO;SL;Art Deco;15;;art deco;
Prevladujoča barva SLO;SL;Smoked;15;dimljena | smoked;;
Vrsta svetlobnega vira SLO;SL;Replaceable and integrated;15;;;
Dopolnilni material I SLO;SL;Braided cable;15;;;
Način montaže SLO;SL;Bracket + lines;15;;;
Dopolnilna barva I SLO;SL;Brushed gold;13;;;
Prevladujoč material SLO;SL;ABS+PS;13;;ABS+PS;
Prevladujoč material SLO;SL;Steel;12;jekleni | jeklo;jeklo;
Prevladujoč material SLO;SL;Crystal;12;Kristalna | Kristalni | kristal;kristal;
Prevladujoč material SLO;SL;MDF;12;;MDF;
Oblika odprtine SLO;SL;Square;11;kvadraten | kvadratna | kvadratno;kvadratna;
Dopolnilna barva I SLO;SL;Silk gray;11;silk gray | svileno siva;svileno siva;
Način montaže SLO;SL;lamp hanger;11;;obesek;
Dopolnilna barva II SLO;SL;Transparent;10;prozoren | prozorna | prozorno | transparenten | transparentna;prozorna;
Dopolnilni material I SLO;SL;Plastic PA;10;;;
Način montaže SLO;SL;Direct or rope assembly;10;;;
Prevladujoč material SLO;SL;ABS-PC;10;;ABS-PC;
Prevladujoč material SLO;SL;FPCB+PVC;10;;FPCB+PVC;
Prevladujoč material SLO;SL;Metal-PVC;10;;;
Zatemnljivo SLO;SL;Step Dim;10;;;
Prevladujoča barva SLO;SL;Opal+Black;9;;;
Prevladujoča barva SLO;SL;Black+Wooden;9;;;
Prevladujoč material SLO;SL;Metal+PP;9;;;
Prevladujoč material SLO;SL;Chrome plated steel;9;;kromirano jeklo;
Dopolnilna barva I SLO;SL;Silver;9;srebrn | srebrna | srebrni | srebrno;srebrna;
Dopolnilni material II SLO;SL;Steel;8;jekleni | jeklo;jeklo;
Prevladujoč material SLO;SL;ABS-Copper;8;;;
Prevladujoč material SLO;SL;Metal+Wooden;8;;;
Prevladujoč material SLO;SL;TPE-Copper;8;;;
Prevladujoč material SLO;SL;Metal-ABS;7;;;
Prevladujoč material SLO;SL;Metal-PMMA;7;;;
Dopolnilni material I SLO;SL;Fabric;7;blago | tkanina;blago;
Dopolnilna barva I SLO;SL;Smoked;7;dimljena | smoked;;
Prevladujoča barva SLO;SL;Black with a golden patina;7;;;
Dopolnilni material I SLO;SL;Flexible stem;6;;;
Dopolnilni material I SLO;SL;Ceramic housing;6;;keramično ohišje;
Dopolnilni material II SLO;SL;Braided cable;6;;;
Prevladujoča barva SLO;SL;Navy blue-gold;6;;;
Prevladujoč material SLO;SL;Braided cable;6;;;
Prevladujoča barva SLO;SL;Brown;6;rjav | rjava | rjavo;rjava;
Prevladujoč material SLO;SL;Metal+PC;6;;;
Prevladujoča barva SLO;SL;Blue;5;moder | modra | modro;modra;
Prevladujoča barva SLO;SL;Red;5;rdeč | rdeča | rdeče;rdeča;
Način polnjenja SLO;SL;USB Type C;5;;;
Dopolnilni material I SLO;SL;Plywood;5;Plywood | vezan les;vezan les;
Dopolnilni material II SLO;SL;Flexible stem;5;;;
Dopolnilni material I SLO;SL;Copper-clad steel;5;;;
Način montaže SLO;SL;Pin for ground;5;;;
Dopolnilna barva I SLO;SL;Umbra gary;5;;;
Dopolnilna barva I SLO;SL;Brown;5;rjav | rjava | rjavo;rjava;
Uporaba SLO;SL;Children room;4;;otroška soba;
Prevladujoča barva SLO;SL;Multicolour;4;multicolour | večbarvna;večbarvna;
Dopolnilni material II SLO;SL;Plastic PA;4;;;
Prevladujoča barva SLO;SL;Pink;4;pink | roza | rožnata;roza;
Slog SLO;SL;New York;4;;;
Prevladujoča barva SLO;SL;Black with a copper patina;4;;;
Prevladujoča barva SLO;SL;Antique brass;4;antique brass | medenina antik;;
Prevladujoča barva SLO;SL;White-Golden;4;;;
