Angleska vrednost;Jezik;Prevodi v preglednici;Vrstice v preglednici;KATERA LASTNOST (Domain) za kateri prevod
1-reflector;SL;1-reflektorska | 1-reflektorske;82 143;
2-reflector;SL;2-reflektorska | 2-reflektorske;83 151;
2-way;DE;2-Gang | zwei Pole;436 813 814;
2-way;HR;dvopolni | izmjenični;436 813 814;
2-way;SL;dvopolni | menjalna | menjalno;436 813 814;
4+ reflector;HR;4+ reflektorska | 4+ reflektorske;89 168;
4+ reflector;SL;4+ reflektorska | 4+ reflektorske;89 168;
Accessories;HR;Dodacima | Nastavki;396 928;
Accessories;SL;Dodatki | Nastavki;396 928;
Adaptor;DE;Adapter | Anhang;188 920;
Adaptor;HR;Adapter | Nastavak;188 920;
Adaptor;SL;Adapter | Nastavek;188 920;
Additional description;DE;Zusätzliche Beschreibung | Zusätzliches Eigenschaft;390 391;
Additional description;HR;Dodatni opis | Dodatno svojstvo;390 391;
Additional description;SL;Dodaten opis | Dodatna lastnost;390 391;
Antique;SL;(antique) | Antična | Antični;90 211 2061;
Bag;DE;Beutel | Tasche | Tüt;1612 1613 1735 2737;
Bag;HR;Torbica | torbico | vre | vrećica;1612 1613 1735 2737;
Bag;SL;Torbica | torbico | vre | vrečka;1612 1613 1735 2737;
Bathroom;DE;Badezimmer | für Badezimmer;666 667;
Bathroom;HR;Kupaonica | za kupaonico;666 667;
Bathroom;SL;Kopalnica | kopalniška;666 667;
Battery;HR;Baterija | baterija | baterijski;251 252 253 2700;
Battery;SL;Baterija | baterija | baterijski;251 252 253 2700;
Beige;HR;Beige | bež;262 277;
Beige;SL;Beige | bež;262 277;
Bulbs;DE;Birnen | Lampe;122 1934;
Bulbs;SL;Sijalke | Žarnice in sijalke;122 1934;
CCT;SL;CCT | spremenljiva (CCT) | spremenljiva (RGB+CCT) | spremenljiva (RGBW);317 2251 2252 2253;
CONE;DE;CONE | Kegel;1139 2703;
CONE;HR;CONE | konus;1139 2703;
CONE;SL;poglobljena (CONE) | stožec;1139 2703;
Cable;HR;Kabel | kabelski;591 2414 2415;
Cable;SL;Kabel | kabelska | kabelski;591 2414 2415;
Cable diameter min;SL;Premer kabla (min) | Premer kabla min;1192 1194;
Cable tie holder;SL;Nosilec vezic | Nosilec vezice;973 974;
Ceiling lights;DE;Deckenlampe | Deckenlampen | Deckenleuchte;1102 1488 1489;
Ceiling lights;HR;Stropna svjetla | Stropne lampe;1102 1488 1489;
Ceiling lights;SL;Plafonjere | Stropne luči | Stropne svetilke;1102 1488 1489;
Charging type;DE;Steckertyp | Verbindungstyp;2658 2660;
Charging type;HR;Tip spoja | Vrsta spoja;2658 2660;
Charging type;SL;Tip priključka | Vrsta priključka;2658 2660;
Children;SL;Otroška | Otroški;111 1056;
Circuit finder;SL;Iskalec vezij | Iskalnik varovalk;2398 2399;
Colour;SL;Barva | Barva (nesklanjano) | Barva (za v naziv);225 227 228;
Colour temperature;SL;Barva svetlobe | Temperatura svetlobe;236 1564;
Communication socket holder;SL;Nosilec komun. vtičnice | Nosilec komunikacijske vtičnice;968 2173;
Connector;DE;Konnektor | Schelle;659 1004 1683;
Connector;HR;Konektor | Obujmica;659 1004 1683;
Connector;SL;Konektor | Objemka | Vezni element;659 1004 1683;
Corner;DE;Eck | Ecke;668 671 672;
Corner;HR;Kut | kutni;668 671 672;
Corner;SL;Kot | kotna | kotni;668 671 672;
Cover;SL;Pokrov | pokrov | vložek;1143 2377 2494;
Crystal;DE;Kristal | Kristall;108 696 699;
Crystal;HR;Kristalna | kristal;108 696 699;
Crystal;SL;Kristalna | Kristalni | kristal;108 696 699;
Dark Gray;DE;Dark Gray | dunkelgrau;350 1561;
Dark Gray;HR;Dark Gray | tamno siva;350 1561;
Dark Gray;SL;Dark Gray | temno siva;350 1561;
Detection range;SL;Domet | Domet senzorja;416 417;
