Entiteta;Zapis;Pot v XML;Pojavitev;Polnih;Vzorci vrednosti;Kanonicna koda (danes);Preslikano;Kam naj gre (izpolni)
Currencies;Currency;CurrencyId;181;100 %;004 | 008 | 012;;;canon.Codebook CURRENCY -> sifra
Currencies;Currency;CurrencyDescription;181;100 %;Afgan | Lek | Alžirski dinar;;;canon.Codebook CURRENCY -> ime
Currencies;Currency;CurrencyCode;180;100 %;AFA | ALL | DZD;;;canon.Codebook CURRENCY -> ISO oznaka
Currencies;Currency;Units;181;100 %;1 | 0;;;canon.Codebook CURRENCY -> enota
Currencies;Currency;InsUpdDate;181;100 %;2002-05-28T14:48:37 | 2002-05-28T14:51:33 | 2002-05-28T14:51:56;;;predlog: ne rabimo (ERP notranje)
CustomerItemGroupDiscounts;CustomerItemGroupDiscountsComercialTermsV2;ItemDiscountGroupID;3;100 %;KABLI | VD.L812;;;b2b.CustomerItemGroupDiscount.ItemGroupCode
CustomerItemGroupDiscounts;CustomerItemGroupDiscountsComercialTermsV2;CustomerDiscountGroupID;3;100 %;73764256 | B2C;;;b2b.CustomerItemGroupDiscount.CustomerGroupCode
CustomerItemGroupDiscounts;CustomerItemGroupDiscountsComercialTermsV2;LimitQTY;3;100 %;0.00000;;;b2b.CustomerItemGroupDiscount.MinQuantity
CustomerItemGroupDiscounts;CustomerItemGroupDiscountsComercialTermsV2;ValidFromDate;3;100 %;2022-08-04T00:00:00 | 2022-08-01T00:00:00;;;b2b.CustomerItemGroupDiscount.ValidFrom
CustomerItemGroupDiscounts;CustomerItemGroupDiscountsComercialTermsV2;ValidToDate;3;0 %;;;;b2b.CustomerItemGroupDiscount.ValidTo
CustomerItemGroupDiscounts;CustomerItemGroupDiscountsComercialTermsV2;Discount;3;100 %;10.00 | 5.00;;;b2b.CustomerItemGroupDiscount.Percent
CustomerItemGroupDiscounts;CustomerItemGroupDiscountsComercialTermsV2;ItemOrganisationID;3;100 %;1;;;predlog: ne rabimo (podjetje je ze v zajemu)
CustomerItemGroupDiscounts;CustomerItemGroupDiscountsComercialTermsV2;CustomerOrganisationID;3;100 %;1;;;predlog: ne rabimo (podjetje je ze v zajemu)
CustomerItemGroupDiscounts;CustomerItemGroupDiscountsComercialTermsV2;InsUpdDate;3;100 %;2022-08-04T09:25:42.093 | 2022-08-04T10:40:58.917 | 2022-08-04T13:22:35.54;;;predlog: ne rabimo (ERP notranje)
Customers;Customer;Code;1614;100 %;00000001 | 00000002 | 00000003;;;b2b.Customer.CustomerKey
Customers;Customer;Name;1614;100 %;MARCHIOL d.o.o., PE LJUBLJANA | MARCHIOL d.o.o., PE MARIBOR | MARCHIOL d.o.o., PE Novo mesto;;;b2b.Customer.Name
Customers;Customer;Address;1481;100 %;Letališka cesta 34a | Perhavčeva ulica 15/a | Ljubljanska cesta 80;;;b2b.Customer.Address
Customers;Customer;Country;1614;100 %;SI | DE | PL;;;b2b.Customer.Country
Customers;Customer;PostalCode;1484;100 %;1000 | 2000 | 8000;;;b2b.Customer.PostalCode
Customers;Customer;City;1487;100 %;LJUBLJANA | Maribor | Novo mesto;;;b2b.Customer.City
Customers;Customer;SubjectToVAT;1614;100 %;0 | 1;;;b2b.Customer.SubjectToVat
Customers;Customer;ExpirationDays;1614;100 %;0 | 14 | 45;;;b2b.Customer.PaymentDays
Customers;Customer;RebatePercent;1614;100 %;0;;;b2b.Customer.RebatePercent
Customers;Customer;Usage;1614;100 %;1;;;
Customers;Customer;CustomerPayerCode;3;100 %;89249577;;;b2b.Customer.PayerCode (obstaja)
Customers;Customer;TaxAccounting;1614;100 %;1 | 0;;;
Customers;Customer;SuggestFirstFreeCode;1614;0 %;;;;(vedno prazno v tem odgovoru)
Customers;Customer;Name1;1614;100 %;MARCHIOL d.o.o., PE LJUBLJANA | MARCHIOL d.o.o., PE MARIBOR | MARCHIOL d.o.o., PE Novo mesto;;;
Customers;Customer;CustomerStatus;1614;100 %;false | true;;;b2b.Customer.Status
Customers;Customer;Name1Transfer;13;100 %;MARCHIOL d.o.o., P | Sonja Jamšek | Matič Rodič;;;predlog: ne rabimo (naslov za prenos)
Customers;Customer;Name2Transfer;5;100 %;Letališka cesta 34 | Ljubljanska cesta | Preloge 25;;;predlog: ne rabimo (naslov za prenos)
Customers;Customer;Name3Transfer;6;100 %;Ljubljana | Novo mesto | Ljubljana - Šmartn;;;predlog: ne rabimo (naslov za prenos)
Customers;Customer;CustomerType;1614;100 %;O | K | D;;;nova kolona b2b.Customer.CustomerType (O/K/D)
Customers;Customer;EntityType;24;100 %;P | F;;;nova kolona b2b.Customer.EntityType (P=pravna, F=fizicna)
Customers;Customer;Street;1481;100 %;Letališka cesta 34a | Perhavčeva ulica 15/a | Ljubljanska cesta;;;nova kolona b2b.Customer.Street
Customers;Customer;SupplierExpirationDays;1614;100 %;0;;;
Customers;Customer;Defaulter;1614;100 %;false;;;nova kolona b2b.Customer.IsDefaulter (neplacnik)
Customers;Customer;UpfrontPayment;1614;100 %;false;;;nova kolona b2b.Customer.UpfrontPayment (placilo vnaprej)
Customers;Customer;RecordInserted;1614;100 %;2022-08-04T09:07:21.057;;;predlog: ne rabimo (SAOP revizija)
Customers;Customer;RecordInsertedBy;1614;100 %;Skrbnik;;;predlog: ne rabimo (SAOP revizija)
Customers;Customer;RecordLastModified;1614;100 %;2022-08-04T09:07:21.057 | 2022-08-04T09:48:47.377 | 2022-08-04T13:30:45.173;;;predlog: ne rabimo (SAOP revizija)
Customers;Customer;RecordLastModifiedBy;1614;100 %;Skrbnik;;;predlog: ne rabimo (SAOP revizija)
Customers;Customer;AlertMinimalAmount;1614;100 %;0;;;predlog: ne rabimo (opozorila v ERP)
Customers;Customer;BlockingUpAmount;1614;100 %;0;;;predlog: ne rabimo (blokade v ERP)
Customers;Customer;AlertNumberOfDays;1614;100 %;0;;;predlog: ne rabimo (opozorila v ERP)
Customers;Customer;BlockingUpNumberOfDays;1614;100 %;0;;;predlog: ne rabimo (blokade v ERP)
Customers;Customer;SIDReporting;1614;100 %;false;;;predlog: ne rabimo (porocanje SID)
Customers;Customer;SIDLimitAmount;1614;100 %;0;;;predlog: ne rabimo (porocanje SID)
Customers;Customer;Vies/Status;1614;100 %;false | true;;;predlog: ne rabimo (preverba VIES)
Customers;Customer;Vies/Date;1614;0 %;2022-08-01T00:00:00 | 2022-08-03T00:00:00 | 2022-08-02T00:00:00;;;(vedno prazno v tem odgovoru)
Customers;Customer;CompanyLinkType;1614;100 %;I;;;
Customers;Customer;HomeNumber;24;100 %;80 | 25 | 15;;;nova kolona b2b.Customer.HouseNumber
Customers;Customer;SearchTag;1594;100 %;MARCHIOL d.o.o., PE Novo mesto | 214;;;
Customers;Customer;ActivityCode;20;100 %;43.210 | 32.500 | 41.200;;;nova kolona b2b.Customer.ActivityCode (SKD)
Customers;Customer;RegistrationNumber;20;100 %;5594901000 | 3059570000 | 5600871000;;;nova kolona b2b.Customer.RegistrationNumber (maticna)
Customers;Customer;TaxNumber;1045;100 %;30724309 | 23893109 | 37763032;;;b2b.Customer.TaxNumber
Customers;Customer;InstitutionalSector;20;100 %;S.11 | S.14 | S.122;;;
Customers;Customer;SalesClerkID;11;100 %;0000006 | 0000001 | 0000004;;;predlog: ne rabimo (SAOP referent)
Customers;Customer;Name2;532;100 %;JURE ŽVELC | S.P. | O.;;;
Customers;Customer;LanguageID;941;100 %;3 | 1 | 2;;;nova kolona b2b.Customer.LanguageId (sifrant jezikov)
Customers;Customer;Name3;107;100 %;UZEOP | NAPRAVAMI IN DELI, D.O.O. | S.P.;;;
Customers;Customer;DiscountGroupID;2;100 %;00000742 | 73764256;;;b2b.Customer.DiscountPriceListCode (obstaja)
Customers;Customer;Currency;5;100 %;987 | 978;;;nova kolona b2b.Customer.CurrencyId (sifrant valut)
Customers;Customer;PriceList;6;100 %;B2B | B2C;;;b2b.Customer.PriceListCode (obstaja)
Customers;Customer;PurchaseClerkID;1;100 %;0000005;;;predlog: ne rabimo (SAOP referent)
Descriptions;itemDescriptions;ItemID;1052;100 %;TT.K5999940 | TT.K6000200 | TT.K6000201;Product.ItemID;DA;(ze preslikano)
Descriptions;itemDescriptions;Descriptions/Description/DescriptionType;1986;100 %;T | O | K;;;
Descriptions;itemDescriptions;Descriptions/Description/LanguageID;1986;100 %;1 | 2 | 3;;;
Descriptions;itemDescriptions;Descriptions/Description/ItemDescription;1986;100 %;"; Material: ABS; Vidna dim.ABS; Pakiranj | ; Material: ABS; Visual dim.7x7x22mm; Pa | ; Material: ABS; Sichtbare Dim.7x7x22mm;";;;
Descriptions;itemDescriptions;Descriptions/Description/ItemLastModified;1986;100 %;2024-09-28T21:24:07.553 | 2023-11-24T06:52:00.947 | 2023-11-24T06:51:34.013;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemID;1000;100 %;3F.58616 | A9V2RGB.5 | ACB.1BIS38431O;;;Product.ItemID (kljuc)
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemName;1000;100 %;LINDA PRO prahotesna LED 9715lm 150cm 66 | LED trak 24V 9W RGB 120 LED 5mm 293lm IP | Mako Gold Bezel;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemOrganisationID;1000;100 %;3;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;CustomerOrganisationID;1000;100 %;3;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/CustomerID;1000;100 %;0000541 | 0000506 | 0001053;;;b2b.Customer (kljuc)
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/CustomerName;1000;100 %;EDIITO d.o.o. | DIGIMAX SRL | MARCHIOL d.o.o.;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/CustomerItemID;1000;100 %;3F.58616 | DA1202405NO0RGB | 1BIS38431O;;;sifra artikla pri stranki
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/CustomerConvertFactor;1000;100 %;1.00000;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/OrderingAllowed;1000;100 %;true | false;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/OrderingCurrencyID;1000;100 %;978 | 840;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/OrderingPrice;1000;100 %;0.00000 | 4.75000 | 10.35000;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/OrderingDiscount;1000;100 %;0.00 | 40.00;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/OrderingDiscount2;1000;100 %;0.00;;;
GetItemCustomerDataV2;ItemCustomerDataHeader;ItemCustomersData/ItemCustomerData/OrderingDiscount3;1000;100 %;0.00;;;
