Šifra artikla,EAN,Spletne strani,Naziv artikla EN,Naziv artikla,Proizvajalec,Dobavitelj,ABC klasifikacija,Merska enota,Oznaka tarifa,Država proizvoda,Bruto teža,Enota bruto teže,Neto teža,Enota neto teže,Volumen,Enota volumna,Dolžina paketa,Enota dolžine paketa,Širina paketa,Enota širine paketa,Višina paketa,Enota višine paketa,Kategorije svetila ANG,Kategorije svetila SLO,Kategorije vid ANG,Kategorije vid SLO,Cena B2B,Cena B2C,Popust,Valuta,DDV,PAK2,Omejitev pri naročanju,Skupina popusta,S popust %,Posebni popust za stranko,Glavna slika,Ostale slike,Glavni dokument,Vloge dokumentov,Ostali dokumenti,VID trenutna zaloga,VID naročena količina,VID količina za odpremo,VID razpoložljiva količina,VID naročena količina dobaviteljem,VID datum dobave,VID koli. prihodnjih dobav,Dobavitelj zaloga,Dobavitelj naročena zaloga,Dobavitelj datum,Skladišče,Grlo,Svetilka vključuje svetlobni vir,Senzor gibanja,Max moč sijalke,Garancija,Zračni pretok,Uporaba ANG,Uporaba SLO,Način montaže ANG,Način montaže SLO,Simbol atributa,Baterija,Kapaciteta baterije,Kot svetlobnega snopa,Enota kota svetlobnega snopa,Presek kabla,Višina stropne kapice,Enota višine stropne kapice,Širina stropne kapice,Enota širine stropne kapice,Čas polnjenja,Način polnjenja ANG,Način polnjenja SLO,Nazivna jakost toka,Nazivna napetost,Nazivna moč,Kolekcija,Temperatura barve,Komentarji,Dopolnilna barva I ANG,Dopolnilna barva I SLO,Dopolnilna barva II ANG,Dopolnilna barva II SLO,Dopolnilni simbol tkanine iz vzorčne škatle I,Dopolnilni material I ANG,Dopolnilni material I SLO,Dopolnilni material II ANG,Dopolnilni material II SLO,Dopolnilni material III ANG,Dopolnilni material III SLO,Indeks barvnega videza (CRI),Vrsta toka,Izvrtina (cutout),Kot detekcije,Razdalja detekcije,Hitrost detekcije,Premer,Višina,Enota višine,Dolžina,Enota dolžine,Širina,Enota širine,Zatemnljivo ANG,Zatemnljivo SLO,Razdalja od stene,Enota razdalje od stene,EAN koda,Električni razred ANG,Režim nujne osvetlitve ANG,Režim nujne osvetlitve SLO,Energijski razred,Ekvivalent,Simbol tkanine iz vzorčne škatle,Svetlobni tok,Enota svetlobnega toka,Frekvenca,Enota frekvence,Bruto teža (2),Enota bruto teže (2),Nastavitev višine,Razpon nastavitve višine,Enota razpona nastavitve višine,Višina daljše roke,Enota višine daljše roke,Višina senčnika reflektorja,Enota višine senčnika reflektorja,Višina krajše roke,Enota višine krajše roke,Dimenzije odprtine,Enota dimenzij odprtine,Oblika odprtine ANG,Oblika odprtine SLO,Ikone,IK stopnja,Montažna višina,IP stopnja zaščite,Oblika svetilke ANG,Oblika svetilke SLO,Prevladujoča barva ANG,Prevladujoča barva SLO,Prevladujoč material ANG,Prevladujoč material SLO,Dolžina podnožja,Enota dolžine podnožja,Dolžina horizontalne roke,Enota dolžine horizontalne roke,Dolžina senčnika,Enota dolžine senčnika,Dolžina vertikalne roke,Enota dolžine vertikalne roke,Življenjska doba,Vrsta svetlobnega vira ANG,Vrsta svetlobnega vira SLO,Luks,Model,Vrtenje motorja,Neto teža (2),Enota neto teže (2),Hrup,Število svetlobnih segmentov,Število svetlobnih virov,Število paketov,Število ciklov polnjenja,PCN,Kosov na karton,Višina paketa I,Višina paketa II,Višina paketa III,Enota višine paketa I,Enota višine paketa II,Enota višine paketa III,Dolžina paketa I,Dolžina paketa II,Dolžina paketa III,Enota dolžine paketa I,Enota dolžine paketa II,Enota dolžine paketa III,Volumen paketa,Enota volumna paketa,Širina paketa I,Širina paketa II,Širina paketa III,Enota širine paketa I,Enota širine paketa II,Enota širine paketa III,Faktor moči,Ime izdelka,Razdelitev na segmente,Velikost,Podnožje / socket,Dolžina spuščenega stropa,Enota dolžine spuščenega stropa,Solarni panel,Solarna moč,Slog ANG,Slog SLO,Tehnična opomba,Časovna zakasnitev,Vrsta kabla,Video,Napetost,Enota napetosti,Širina podnožja,Enota širine podnožja,Širina senčnika reflektorja,Enota širine senčnika reflektorja,Delovna temperatura,Delovni čas,Združljivo z
DX.APC.25.500,4039677010469,,"LED power supply APC-25 CC 25,2W/50V IP42","Napajalnik, za LED, CC, APC, 0,5A-0,5A, 25,2W, ON/OFF, IP42, 1/72, (R3)",00001609,91086973,,kom,85044082,CN,0,,0,,0,,0,mm,0,mm,0,mm,,,,,13.03,,,,22,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX.APC.35.500,7000002125452,,LED power supply APC-35 CC 35W/70V IP42,"Napajalnik, za LED, CC, APC, 0,5A-0,5A, 35W, ON/OFF, IP42, 1/72, (R3)",00001609,91086973,,kom,85044082,CN,0.192,,0.192,,0,,35,mm,67,mm,125,mm,,,,,14.53,,,,22,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX.APV.16.12,4039677007612,,LED power supply APV-16 CV 16W/12V IP42,"Napajalnik, za LED, CV, APV, 12V, 16W, ON/OFF, IP42, 1/120, (R3)",00001609,91086973,,kom,85044082,CN,0,,0.1,,0,,0,mm,0,mm,0,mm,,,,,7.9,,,,22,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX.CBU.ASD,3830078332416,,"LED controller CBU-ASD MONO CASAMBI, DALI","LED kontroler, enobarvni, CBU-ASD, 12V/24V, 120/240W, DALI,CASAMBI, 0-10V, (R2)",00001606,91086973,,kom,85365080,CN,0.048,,0.045,,0,,55,mm,35,mm,23,mm,,,,,111.43,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX.CBU.CEFL,3830078332454,,Motion detector CBU-CEFL PIR recessed CASAMBI,"Senzor gibanja, PIR, CBU-CEFL , za v profil, 220V/240V, CASAMBI, (R2)",00001606,91086973,,kom,85365080,CN,0,,0,,0,,0,mm,0,mm,0,mm,,,,,,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX.CBU.TED,3830078330160,,LED controller CBU-TED MONO CASAMBI,"LED kontroler, enobarvni, CBU-TED, 85V/240V, 55/156W, CASAMBI, (R2)",00001606,91086973,,kom,85365080,CN,0.016,,0.016,,0,,10,mm,35,mm,40,mm,,,,,111.43,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX.DAC230.1CH,4039677007605,,LED controller DAC230 MONO PUSH,"LED zatemnilnik, enobarvni, DAC230, 210V/240V, 168/192W, PUSH, (R3)",00001606,91086973,,kom,85365080,CN,0.043,,0.031,,0,,30,mm,55,mm,70,mm,,,,,46.83,,,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX.DLB1248.1CV.DALI,3830078332409,,"LED controller DLB1248 MONO DALI, PUSH","LED zatemnilnik, enobarvni, DLB1248, 12V/24V, 120/240W, DALI, PUSH, 0/10V, 1/10V, (R2)",00001606,91086973,,kom,85365080,CN,0.043,,0.04,,0,,50,mm,44,mm,25,mm,,,,,44.35,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX.DLB1248.3CV.DALI,3830078332423,,"LED controller DLB1248 MONO DALI, 3xPUSH","LED zatemnilnik, enobarvni, DLB1248, 12V/24V, 120/240W, DALI, 3xPUSH, 0-5V, 0-10V, (R2)",00001606,91086973,,kom,85365080,CN,0.043,,0.04,,0,,50,mm,44,mm,25,mm,,,,,78.05,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX.DLC1248.1CV,8006012335316,,"LED controller DLC1248 MONO CASAMBI, PUSH","LED zatemnilnik, enobarvni, DLC1248, 12V/48V, 96W/192W, (R2)",00001606,91086973,,kom,85365080,CN,0.043,,0.04,,0,,50,mm,44,mm,25,mm,,,,,33.45,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
