Šifra artikla,EAN,Cena B2B,Cena B2C,DDV,VID trenutna zaloga,VID naročena količina,VID količina za odpremo,VID razpoložljiva količina,VID naročena količina dobaviteljem,Dobavitelj zaloga,Dobavitelj naročena zaloga,Dobavitelj datum,Skladišče,Rabatna skupina artikla,Rabatna skupina ERP,Popust odprodaje %
BA.BC01.00130,5949097705779,12.44,12.44,22,,,,,,998,,,,BA,BA,0
BA.BC01.00330,5949097701092,20.56,20.56,22,,,,,,1440,,,,BA,BA,0
BA.BC15.00310,5949097729164,29.78,29.78,22,60,0,2,58,0,810,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC15.00330,5949097703522,29.78,29.78,22,10,0,0,10,0,2510,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC15.00480,5949097739927,32.78,32.78,22,55,0,0,55,0,6048,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC15.00580,5949097739934,43.89,43.89,22,,,,,,5824,,,,BA,BA,0
BA.BC18.00280,5949097739309,11.56,11.56,22,31,0,0,31,0,214,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC18.00281,5949097739316,11.56,11.56,22,47,0,0,47,0,740,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC18.00380,5949097739323,14.78,14.78,22,71,0,2,69,0,960,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC18.00381,5949097739330,14.78,14.78,22,19,0,0,19,0,1540,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC18.00680,5949097739347,12.22,12.22,22,27,0,0,27,0,0,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC18.00681,5949097739354,12.22,12.22,22,22,0,0,22,0,1000,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC18.00780,5949097739361,15.33,15.33,22,6,0,0,6,0,0,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC18.00781,5949097739378,15.33,15.33,22,9,0,0,9,0,1110,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BC18.30780,5949097741883,22.22,22.22,22,,,,,,830,,,,BA,BA,0
BA.BC18.30781,5949097741890,22.22,22.22,22,19,1,0,18,0,759,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BG37.00702,5949097739965,19.11,19.11,22,,,,,,,,,,BA,BA,0
BA.BG37.00710,5949097746703,15.29,15.29,22,74,0,0,74,0,1030,,,Glavno skladišče Rakovnik 9a,BA2,BA2,0
BA.BG37.00712,5949097746710,15.29,15.29,22,33,0,0,33,0,1870,,,Glavno skladišče Rakovnik 9a,BA2,BA2,0
BA.BG37.30710,5949097748141,23.71,23.71,22,8,1,0,7,0,1048,,,Glavno skladišče Rakovnik 9a,BA2,BA2,0
BA.BG37.30712,5949097748158,23.71,23.71,22,7,0,0,7,0,535,,,Glavno skladišče Rakovnik 9a,BA2,BA2,0
BA.BG43.02002,5949097705625,96.67,96.67,22,,,,,,0,,,,BA,BA,0
BA.BG43.02102,5949097705632,113.33,113.33,22,,,,,,246,,,,BA,BA,0
BA.BG43.02302,5949097705649,122.22,122.22,22,,,,,,144,,,,BA,BA,0
BA.BG43.03202,5949097718335,60,60,22,,,,,,328,,,,BA,BA,0
BA.BG43.03302,5949097718342,26.4,70,22,3,0,0,3,0,312,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BG43.04102,5949097718366,16.8,49.44,22,2,0,0,2,0,234,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BG43.04202,5949097718373,23.04,66.89,22,5,0,0,5,0,342,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BG43.04302,5949097718380,30.72,90,22,2,0,0,2,0,342,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH04.00100,5949097708954,19.16,19.16,22,15,0,0,15,0,1312,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00101,5949097708961,19.16,19.16,22,,,,,,2500,,,,BA,BA,0
BA.BH04.00110,5949097708978,8.89,20.94,22,6,0,0,6,0,1179,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH04.00111,5949097708985,20.94,20.94,22,12,0,0,12,0,1177,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00200,5949097708473,19.71,19.71,22,20,0,0,20,0,780,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00201,5949097708480,19.71,19.71,22,12,0,0,12,0,1959,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00210,5949097708497,9.04,21.49,22,6,0,0,6,0,1196,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH04.00211,5949097708503,21.49,21.49,22,25,0,0,25,0,1000,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00300,5949097708664,15.94,15.94,22,20,0,0,20,0,379,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00301,5949097708671,15.94,15.94,22,16,0,0,16,0,1639,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00306,5949097720475,11.31,,22,21,0,0,21,0,,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH04.00310,5949097708688,18.38,18.38,22,7,0,0,7,0,1550,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00311,5949097708695,18.38,18.38,22,12,0,0,12,0,1502,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00316,5949097720482,21.38,21.38,22,,,,,,696,,,,BA,BA,0
BA.BH04.00400,5949097708992,9.15,26.49,22,2,0,0,2,0,894,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH04.00401,5949097709005,26.49,26.49,22,17,0,0,17,0,432,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00406,5949097720499,9.57,,22,,,,,,304,,,,VD0,VD0,0
BA.BH04.00500,5949097723315,8.16,8.16,22,,,,,,3311,,,,BA,BA,0
BA.BH04.00501,5949097723322,8.16,8.16,22,16,0,0,16,0,648,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00506,5949097723339,9.16,9.16,22,,,,,,864,,,,BA,BA,0
BA.BH04.00560,5949097726552,13.38,13.38,22,,,,,,660,,,,BA,BA,0
